#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T08:33:09 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T08:33:09	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/MNRAS/466/3636/tablea1&-order=I&-out=More&-out=ID&-out=RAICRS&-out=DEICRS&-out=Vmag&-out=e_Vmag&-out=b-y&-out=e_b-y&-out=m1&-out=e_m1&-out=c1&-out=e_c1&-out=beta&-out=e_beta&-out=Member&-out=IPHAS&-out=2MASS&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74663636
#Name: J/MNRAS/466/3636
#Title: The young open cluster NGC 7067 (Monguio+, 2017)
#INFO	ivoid=ivo://cds.vizier/j/mnras/466/3636	    IVOID of underlying data collection
#INFO	creator=Monguio M.	    First author or institution
#INFO	cites=bibcode:2017MNRAS.466.3636M	    Article or Data origin sources
#INFO	original_date=2017	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/466/3636	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74663636	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-17	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2000.000:	ICRS
#Table	J_MNRAS_466_3636_tablea1:
#Name: J/MNRAS/466/3636/tablea1
#Title: Coordinates and photometric indexes
#Column	More	(A1)	indicates parameters for B stars or physical parameters for hot stars	[ucd=meta.ref.url]
#Column	ID	(I4)	ID number	[ucd=meta.id;meta.main]
#Column	RAICRS	(A10)	Right ascension (ICRS, Epoch=J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEICRS	(A9)	Declination (ICRS, Epoch=J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	Magnitude in Johnson V	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F5.2)	Error in V magnitude	[ucd=stat.error;phot.mag;em.opt.V]
#Column	b-y	(F5.2)	b-y color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_b-y	(F5.2)	Error in b-y color index	[ucd=stat.error;phot.color;em.opt.B]
#Column	m1	(F6.2)	m1 index	[ucd=phot.color]
#Column	e_m1	(F5.2)	Error in m1 index	[ucd=stat.error]
#Column	c1	(F6.2)	? c1 index	[ucd=phot.color]
#Column	e_c1	(F5.2)	? Error in c1 index	[ucd=stat.error]
#Column	beta	(F5.2)	? beta index	[ucd=phot.color]
#Column	e_beta	(F5.2)	? Error in beta	[ucd=stat.error]
#Column	Member	(I1)	[0/1] 1 for member	[ucd=meta.code.member]
#Column	IPHAS	(A19)	IPHAS ID (JHHMMSS.ss+DDMMSS.s)	[ucd=meta.id]
#Column	2MASS	(A16)	2MASS ID (HHMMSSss+DDMMSSs)	[ucd=meta.id]
More;ID;RAICRS;DEICRS;Vmag;e_Vmag;b-y;e_b-y;m1;e_m1;c1;e_c1;beta;e_beta;Member;IPHAS;2MASS
 ;1414;21 24 00.6;+47 55 22;16.53; 0.01; 1.27; 0.02;  0.05; 0.03;  0.53; 0.01; 2.59; 0.02;0;J212400.58+475521.7;21240058+4755216
 ;1415;21 24 00.6;+48 00 37;18.02; 0.00; 0.95; 0.00;  0.00; 0.02;  0.54; 0.03; 2.62; 0.01;0;J212400.61+480037.1;21240061+4800370
*;1416;21 24 00.5;+48 02 33;17.77; 0.02; 0.97; 0.03; -0.15; 0.05;  1.10; 0.00; 2.79; 0.10;1;J212400.47+480233.4;21240047+4802332
 ;1417;21 24 00.3;+47 58 40;18.49; 0.03; 0.91; 0.03; -0.06; 0.07;  0.55; 0.06; 2.62; 0.02;0;J212400.31+475840.1;21240029+4758401
 ;1418;21 23 59.7;+47 57 42;18.09; 0.01; 0.84; 0.02; -0.05; 0.01;  0.53; 0.04; 2.66; 0.02;0;J212359.68+475741.5;21235966+4757413
*;1419;21 23 59.7;+48 00 13;18.40; 0.02; 0.76; 0.03; -0.08; 0.04;  1.07; 0.02; 2.85; 0.00;1;J212359.72+480013.3;21235971+4800133
 ;1420;21 23 59.6;+48 05 18;17.74; 0.01; 1.11; 0.01; -0.15; 0.04;  0.70; 0.02; 2.64; 0.01;0;J212359.58+480517.6;21235958+4805176
 ;1421;21 23 59.4;+48 00 20;17.83; 0.03; 0.95; 0.01;  0.03; 0.01;  0.48; 0.00; 2.62; 0.02;0;J212359.37+480020.1;21235937+4800201
*;1422;21 23 59.3;+48 00 52;18.32; 0.04; 0.98; 0.03; -0.15; 0.02;  0.55; 0.05; 2.62; 0.03;0;J212359.27+480051.9;21235926+4800520
 ;1423;21 23 59.1;+48 01 08;18.02; 0.00; 0.97; 0.01; -0.09; 0.03;  0.52; 0.04; 2.60; 0.02;0;J212359.08+480107.6;21235908+4801077
 ;1424;21 23 58.9;+47 56 13;17.69; 0.01; 0.82; 0.02;  0.04; 0.04;  0.53; 0.01; 2.70; 0.03;0;J212358.90+475613.3;21235891+4756132
*;1425;21 23 58.9;+48 05 09;17.87; 0.03; 1.09; 0.02; -0.20; 0.02;  0.59; 0.07; 2.64; 0.00;0;J212358.86+480509.3;21235886+4805092
*;1426;21 23 58.2;+47 59 12;17.57; 0.01; 0.83; 0.01; -0.11; 0.02;  1.35; 0.01; 2.89; 0.01;0;J212358.17+475912.4;21235816+4759123
*;1427;21 23 57.8;+47 57 16;16.96; 0.01; 0.77; 0.01;  0.00; 0.02;  0.65; 0.02; 2.72; 0.01;0;J212357.81+475716.2;21235780+4757161
*;1428;21 23 57.4;+48 04 59;17.99; 0.02; 0.95; 0.03; -0.33; 0.04;  1.03; 0.02; 2.88; 0.00;0;J212357.43+480459.0;21235743+4804590
 ;1429;21 23 57.3;+48 02 59;16.70; 0.01; 0.87; 0.05;  0.00; 0.10;  0.53; 0.09; 2.69; 0.01;0;J212357.28+480258.9;21235727+4802587
*;1430;21 23 56.6;+48 05 36;18.06; 0.01; 0.96; 0.03; -0.21; 0.05;  0.62; 0.07; 2.65; 0.01;0;J212356.57+480535.8;21235656+4805358
 ;1431;21 23 56.2;+47 54 35;16.10; 0.01; 1.50; 0.00; -0.02; 0.01;  0.58; 0.04; 2.61; 0.01;0;J212356.20+475434.5;21235620+4754344
 ;1432;21 23 55.4;+47 57 17;17.18; 0.01; 0.97; 0.01; -0.05; 0.01;  0.64; 0.02; 2.69; 0.01;0;J212355.44+475717.4;21235542+4757174
 ;1433;21 23 55.1;+48 04 35;16.11; 0.01; 1.34; 0.01; -0.05; 0.02;  0.62; 0.02; 2.61; 0.01;0;J212355.07+480435.4;21235506+4804353
*;1434;21 23 54.8;+48 04 49;16.80; 0.01; 1.08; 0.02; -0.17; 0.03;  0.63; 0.00; 2.64; 0.00;0;J212354.83+480448.7;21235482+4804487
 ;1435;21 23 54.7;+48 00 41;17.29; 0.01; 1.00; 0.01;  0.00; 0.02;  0.55; 0.02; 2.64; 0.01;0;J212354.67+480041.3;21235468+4800412
*;1436;21 23 54.5;+47 56 46;17.92; 0.00; 0.78; 0.02;  0.08; 0.07;  1.14; 0.08; 2.93; 0.01;1;J212354.46+475646.0;21235446+4756460
*;1437;21 23 54.2;+47 58 10;18.06; 0.03; 0.84; 0.01;  0.03; 0.01;  0.91; 0.00; 2.82; 0.03;0;J212354.21+475810.1;
 ;1438;21 23 53.5;+47 57 01;18.11; 0.03; 0.99; 0.04; -0.05; 0.06;  0.37; 0.03; 2.63; 0.00;0;J212353.47+475701.0;21235346+4757010
 ;1439;21 23 53.3;+48 00 06;17.83; 0.02; 0.98; 0.04; -0.09; 0.07;  0.56; 0.03; 2.63; 0.00;0;J212353.26+480006.3;21235326+4800062
*;1440;21 23 52.5;+48 01 59;17.72; 0.01; 0.95; 0.02; -0.13; 0.03;  0.82; 0.04; 2.73; 0.01;0;J212352.47+480158.6;21235247+4801585
*;1441;21 23 52.4;+48 04 11;17.69; 0.01; 1.02; 0.01; -0.23; 0.03;  0.69; 0.01; 2.65; 0.01;0;J212352.45+480411.0;21235244+4804109
*;1442;21 23 51.8;+48 04 52;17.71; 0.11; 1.01; 0.02; -0.27; 0.07;  0.72; 0.07; 2.60; 0.09;0;J212351.74+480451.4;21235173+4804513
*;1443;21 23 51.6;+47 58 42;17.68; 0.26; 0.99; 0.09;  0.16; 0.19; -0.27; 0.17; 2.51; 0.07;0;J212351.61+475842.4;21235160+4758426
 ;1444;21 23 51.4;+47 57 14;17.93; 0.00; 0.92; 0.00; -0.02; 0.01;  0.52; 0.01; 2.65; 0.00;0;J212351.39+475713.6;21235139+4757135
*;1445;21 23 49.3;+48 03 56;18.01; 0.02; 1.00; 0.03; -0.27; 0.04;  0.68; 0.03; 2.66; 0.01;0;J212349.34+480356.4;21234932+4803562
*;1446;21 23 49.1;+48 04 45;17.28; 0.01; 0.94; 0.01; -0.20; 0.02;  1.06; 0.00; 2.79; 0.01;1;J212349.09+480444.7;21234908+4804448
 ;1447;21 23 48.2;+47 58 14;17.19; 0.02; 1.03; 0.01;  0.00; 0.01;  0.57; 0.05; 2.61; 0.01;0;J212348.17+475814.3;21234817+4758142
*;1448;21 23 48.1;+48 04 28;18.09; 0.02; 0.83; 0.03; -0.26; 0.07;  1.22; 0.07; 2.95; 0.02;0;J212348.12+480428.3;21234811+4804281
 ;1449;21 23 47.7;+47 56 56;17.67; 0.02; 0.93; 0.01;  0.10; 0.07;  0.42; 0.03; 2.58; 0.01;0;J212347.65+475656.3;21234764+4756563
*;1450;21 23 47.3;+47 56 59;16.87; 0.01; 0.77; 0.02;  0.01; 0.04;  1.24; 0.02; 2.88; 0.00;0;J212347.32+475658.9;21234731+4756589
 ;1451;21 23 47.1;+48 00 24;17.91; 0.00; 1.02; 0.02; -0.12; 0.03;  0.64; 0.00; 2.67; 0.01;0;J212347.10+480024.4;21234709+4800243
 ;1452;21 23 47.0;+47 58 16;17.81; 0.00; 1.04; 0.00; -0.03; 0.04;  0.59; 0.14; 2.69; 0.04;0;J212346.99+475815.5;21234698+4758155
*;1453;21 23 46.9;+47 55 40;17.47; 0.01; 0.95; 0.02; -0.03; 0.04;  0.94; 0.00; 2.76; 0.01;0;J212346.90+475540.3;21234689+4755402
 ;1454;21 23 46.3;+47 55 34;15.65; 0.02; 1.33; 0.02;  0.26; 0.05;  0.63; 0.01; 2.62; 0.01;0;J212346.33+475534.2;21234632+4755342
*;1455;21 23 46.3;+47 55 18;17.91; 0.02; 0.86; 0.01;  0.06; 0.03;  0.98; 0.09; 2.89; 0.01;0;J212346.30+475518.5;21234627+4755184
 ;1456;21 23 45.7;+47 56 50;17.97; 0.01; 0.86; 0.01; -0.05; 0.01;  0.56; 0.05; 2.68; 0.02;0;J212345.68+475649.8;21234566+4756497
*;1457;21 23 45.7;+48 03 01;16.95; 0.02; 0.75; 0.07;  0.11; 0.14;  0.70; 0.16; 2.81; 0.01;0;J212345.72+480300.7;21234570+4803006
 ;1458;21 23 44.6;+47 55 58;17.05; 0.01; 0.78; 0.22;  0.22; 0.38;  0.37; 0.28; 2.62; 0.07;0;J212344.58+475558.0;21234456+4755579
*;1459;21 23 43.4;+48 01 24;17.84; 0.01; 0.94; 0.00; -0.11; 0.00;  1.20; 0.07; 2.90; 0.01;1;J212343.38+480124.3;21234337+4801241
 ;1460;21 23 42.9;+47 55 01;17.49; 0.00; 1.13; 0.01;  0.06; 0.03;  0.27; 0.10; 2.42; 0.01;0;J212342.88+475501.3;21234287+4755012
*;1461;21 23 42.4;+48 03 02;17.50; 0.00; 1.01; 0.17; -0.27; 0.33;  0.98; 0.32; 2.71; 0.02;0;J212342.37+480302.2;21234236+4803021
 ;1462;21 23 42.1;+47 54 56;17.73; 0.02; 0.81; 0.02;  0.03; 0.03;  0.48; 0.03; 2.66; 0.00;0;J212342.12+475455.9;21234210+4754557
 ;1463;21 23 40.3;+47 56 44;17.93; 0.02; 0.83; 0.02; -0.03; 0.02;  0.58; 0.02; 2.64; 0.01;0;J212340.28+475643.7;21234027+4756437
 ;1464;21 23 39.9;+47 54 34;18.04; 0.02; 0.81; 0.02;  0.00; 0.03;  0.51; 0.02; 2.66; 0.01;0;J212339.87+475434.1;21233986+4754340
*;1465;21 23 39.9;+48 04 27;17.96; 0.01; 1.05; 0.02; -0.26; 0.05;  0.67; 0.05; 2.66; 0.01;0;J212339.95+480426.7;21233995+4804266
 ;1466;21 23 39.7;+48 01 51;17.44; 0.01; 1.11; 0.02; -0.14; 0.00;  0.58; 0.00; 2.65; 0.02;0;J212339.72+480151.0;21233971+4801510
*;1467;21 23 39.3;+47 55 36;17.92; 0.02; 1.14; 0.24; -0.38; 0.51;  0.86; 0.35; 2.63; 0.03;0;J212339.29+475536.0;21233927+4755359
 ;1468;21 23 37.6;+47 57 05;17.32; 0.01; 1.01; 0.01; -0.03; 0.03;  0.56; 0.07; 2.65; 0.00;0;J212337.61+475705.0;21233761+4757049
 ;1469;21 23 35.6;+47 54 45;17.62; 0.01; 0.89; 0.01; -0.06; 0.03;  0.59; 0.01; 2.70; 0.02;0;J212335.58+475445.3;21233558+4754454
*;1470;21 23 35.7;+48 04 19;17.97; 0.05; 1.11; 0.00; -0.20; 0.02;  0.51; 0.04; 2.60; 0.01;0;J212335.66+480419.4;21233566+4804193
 ;1471;21 23 35.3;+47 56 27;17.33; 0.02; 1.06; 0.01; -0.14; 0.01;  0.71; 0.01; 2.70; 0.00;0;J212335.30+475627.0;21233531+4756270
 ;1472;21 23 35.1;+47 55 07;17.88; 0.02; 0.99; 0.01; -0.03; 0.03;  0.48; 0.03; 2.55; 0.03;0;J212335.04+475506.5;21233503+4755063
 ;1473;21 23 33.7;+47 55 49;17.55; 0.01; 0.91; 0.02; -0.03; 0.01;  0.72; 0.07; 2.69; 0.01;0;J212333.73+475548.8;21233373+4755487
 ;1474;21 23 33.8;+48 05 29;17.20; 0.01; 1.04; 0.01; -0.15; 0.02;  0.64; 0.02; 2.66; 0.01;0;J212333.85+480529.4;21233384+4805294
 ;1475;21 23 33.6;+48 01 24;18.01; 0.01; 1.05; 0.00; -0.13; 0.01;  0.66; 0.02; 2.65; 0.02;0;J212333.62+480123.5;21233362+4801235
*;1476;21 23 33.4;+47 55 41;17.80; 0.04; 0.99; 0.02; -0.11; 0.07;  0.41; 0.07; 2.60; 0.01;0;J212333.37+475540.9;21233337+4755409
*;1477;21 23 31.8;+48 04 02;16.78; 0.01; 0.98; 0.01; -0.15; 0.02;  0.68; 0.03; 2.69; 0.02;0;J212331.84+480401.8;21233183+4804017
*;1478;21 23 30.7;+48 05 00;17.93; 0.02; 1.02; 0.01; -0.17; 0.03;  0.57; 0.08; 2.63; 0.03;0;J212330.70+480500.0;21233069+4805000
 ;1479;21 23 29.9;+47 57 43;17.15; 0.01; 1.03; 0.01;  0.12; 0.02;  0.48; 0.03; 2.61; 0.01;0;J212329.91+475743.3;21232992+4757433
 ;1480;21 23 29.7;+47 58 39;17.72; 0.01; 1.02; 0.01; -0.05; 0.03;  0.48; 0.06; 2.65; 0.02;0;J212329.71+475838.8;21232971+4758389
*;1481;21 23 29.5;+48 01 00;17.75; 0.02; 0.98; 0.00; -0.15; 0.00;  0.60; 0.01; 2.65; 0.01;0;J212329.55+480059.6;21232955+4800596
*;1482;21 23 29.4;+47 57 21;16.95; 0.05; 1.05; 0.58; -0.29; 1.04;  1.52; 1.06; 2.73; 0.01;0;J212329.37+475721.3;21232937+4757212
 ;1483;21 23 29.3;+47 55 20;17.72; 0.01; 0.92; 0.02;  0.05; 0.06;  0.49; 0.07; 2.62; 0.01;0;J212329.28+475519.8;21232927+4755198
 ;1484;21 23 29.2;+47 58 13;18.02; 0.01; 0.95; 0.00; -0.05; 0.02;  0.53; 0.03; 2.59; 0.03;0;J212329.17+475812.7;21232916+4758127
 ;1485;21 23 29.3;+48 04 38;16.20; 0.01; 1.24; 0.01;  0.05; 0.02;  0.65; 0.02; 2.60; 0.01;0;J212329.27+480437.6;21232927+4804376
 ;1486;21 23 28.8;+47 58 41;17.68; 0.01; 1.08; 0.00; -0.07; 0.00;  0.57; 0.07; 2.62; 0.02;0;J212328.85+475841.4;21232885+4758415
 ;1487;21 23 28.5;+47 55 01;17.94; 0.01; 0.94; 0.03; -0.07; 0.04;  0.57; 0.05; 2.67; 0.01;0;J212328.51+475501.2;21232850+4755012
*;1488;21 23 28.4;+48 01 45;17.64; 0.00; 0.94; 0.02; -0.18; 0.04;  0.77; 0.01; 2.66; 0.02;0;J212328.45+480145.3;
 ;1489;21 23 26.8;+47 58 28;16.96; 0.01; 0.94; 0.01;  0.04; 0.01;  0.48; 0.01; 2.60; 0.00;0;J212326.79+475828.4;21232679+4758284
 ;1490;21 23 26.4;+47 57 54;17.84; 0.01; 0.80; 0.01; -0.05; 0.03;  0.55; 0.01; 2.71; 0.01;0;J212326.44+475753.8;21232644+4757537
 ;1491;21 23 25.6;+47 58 33;18.32; 0.01; 0.92; 0.04; -0.08; 0.09;  0.66; 0.13; 2.69; 0.02;0;J212325.56+475832.7;21232556+4758326
 ;1492;21 23 25.5;+47 54 55;17.30; 0.01; 0.89; 0.01; -0.05; 0.02;  0.57; 0.01; 2.64; 0.02;0;J212325.45+475454.5;21232544+4754546
*;1493;21 23 25.4;+48 04 37;17.86; 0.01; 0.90; 0.01; -0.15; 0.02;  1.28; 0.00; 2.91; 0.04;1;J212325.38+480437.1;21232539+4804370
 ;1494;21 23 24.8;+48 04 49;17.61; 0.01; 1.00; 0.01; -0.15; 0.02;  0.73; 0.06; 2.66; 0.01;0;J212324.83+480448.5;21232480+4804485
*;1495;21 23 24.5;+47 57 52;17.55; 0.01; 0.71; 0.01; -0.07; 0.02;  1.21; 0.01; 2.96; 0.02;1;J212324.54+475751.5;21232454+4757515
 ;1496;21 23 24.5;+47 56 47;17.65; 0.02; 0.89; 0.02; -0.02; 0.03;  0.40; 0.02; 2.61; 0.01;0;J212324.46+475646.7;21232447+4756467
*;1497;21 23 24.5;+48 04 49;17.33; 0.01; 0.87; 0.02; -0.10; 0.04;  1.24; 0.01; 2.92; 0.03;1;J212324.56+480448.8;
*;1498;21 23 23.0;+47 56 26;17.67; 0.02; 0.79; 0.03;  0.11; 0.05;  0.84; 0.02; 2.85; 0.00;0;J212322.96+475625.5;21232297+4756257
*;1499;21 23 22.9;+48 02 31;17.88; 0.03; 1.03; 0.00; -0.18; 0.01;  0.63; 0.02; 2.67; 0.03;0;J212322.88+480231.1;21232287+4802310
 ;1500;21 23 22.8;+47 58 18;15.89; 0.01; 1.17; 0.01;  0.28; 0.01;  0.46; 0.03; 2.58; 0.02;0;J212322.79+475818.2;21232279+4758182
 ;1501;21 23 22.2;+47 57 32;17.64; 0.00; 0.79; 0.01;  0.01; 0.04;  0.52; 0.02; 2.65; 0.03;0;J212322.19+475732.3;21232219+4757322
 ;1502;21 23 21.9;+48 04 01;17.73; 0.01; 0.98; 0.02; -0.12; 0.03;  0.60; 0.01; 2.66; 0.01;0;J212321.96+480400.9;21232195+4804008
 ;1503;21 23 21.5;+47 56 38;18.06; 0.02; 0.98; 0.00; -0.07; 0.05;  0.51; 0.10; 2.62; 0.03;0;J212321.46+475638.3;21232147+4756383
*;1504;21 23 21.5;+47 58 13;18.24; 0.00; 0.85; 0.01; -0.13; 0.00;  0.87; 0.06; 2.82; 0.00;0;J212321.45+475812.9;21232144+4758133
 ;1505;21 23 21.6;+48 04 47;17.25; 0.01; 0.99; 0.01; -0.10; 0.01;  0.59; 0.01; 2.64; 0.01;0;J212321.57+480447.2;21232155+4804471
 ;1506;21 23 21.4;+48 01 14;17.67; 0.01; 1.08; 0.01; -0.15; 0.02;  0.63; 0.04; 2.69; 0.01;0;J212321.47+480113.5;21232146+4801135
 ;1507;21 23 20.5;+47 55 13;17.84; 0.01; 0.85; 0.01;  0.04; 0.04;  0.48; 0.07; 2.65; 0.02;0;J212320.46+475513.1;21232045+4755130
 ;1508;21 23 19.9;+47 57 22;18.14; 0.03; 0.95; 0.04; -0.06; 0.09;  0.56; 0.19; 2.61; 0.02;0;J212319.86+475721.6;21231983+4757216
 ;1509;21 23 19.7;+47 56 53;18.00; 0.02; 0.82; 0.01; -0.03; 0.04;  0.52; 0.06; 2.65; 0.03;0;J212319.71+475653.0;21231971+4756530
*;1510;21 23 18.9;+47 58 10;17.36; 0.01; 0.88; 0.03; -0.14; 0.06;  0.80; 0.12; 2.73; 0.12;0;J212318.87+475810.0;21231885+4758092
*;1511;21 23 18.4;+47 55 30;18.01; 0.00; 1.10; 0.39; -0.38; 0.59;  0.90; 0.26; 2.84; 0.14;0;J212318.41+475530.3;21231841+4755302
 ;1512;21 23 18.5;+48 05 21;17.03; 0.01; 1.07; 0.01; -0.09; 0.02;  0.64; 0.01; 2.64; 0.01;0;J212318.55+480520.8;21231854+4805208
 ;1513;21 23 18.2;+47 54 36;17.17; 0.67; 1.12; 0.02; -0.06; 0.44;  0.89; 1.08; 2.54; 0.01;0;J212318.08+475435.8;21231808+4754358
 ;1514;21 23 18.0;+48 02 36;16.34; 0.01; 1.46; 0.01; -0.05; 0.02;  0.64; 0.03; 2.61; 0.00;0;J212318.05+480235.6;21231806+4802355
*;1515;21 23 17.7;+47 57 49;18.25; 0.02; 0.85; 0.00; -0.06; 0.01;  0.39; 0.00; 2.58; 0.02;0;J212317.68+475748.7;21231771+4757486
 ;1516;21 23 17.3;+47 56 16;17.91; 0.01; 0.92; 0.01; -0.01; 0.05;  0.49; 0.09; 2.62; 0.00;0;J212317.29+475616.4;21231729+4756163
 ;1517;21 23 17.2;+48 04 51;16.90; 0.01; 1.19; 0.01; -0.01; 0.03;  0.59; 0.02; 2.59; 0.01;0;J212317.16+480451.0;21231716+4804510
 ;1518;21 23 17.1;+47 56 52;16.60; 0.01; 1.64; 0.00;  0.22; 0.04; -1.15; 0.13; 2.58; 0.01;0;J212317.13+475652.0;21231712+4756520
*;1519;21 23 17.0;+47 59 27;16.95; 0.00; 0.80; 0.01; -0.04; 0.01;  1.20; 0.02; 2.91; 0.01;0;J212316.96+475926.9;21231696+4759270
 ;1520;21 23 16.9;+47 56 59;17.85; 0.08; 0.74; 0.10;  0.03; 0.08;  0.60; 0.09; 2.67; 0.04;0;J212316.90+475659.3;21231690+4756594
*;1521;21 23 16.8;+47 56 01;17.41; 0.03; 0.91; 0.04; -0.15; 0.07;  1.26; 0.10; 2.85; 0.02;1;J212316.72+475601.2;21231671+4756012
*;1522;21 23 16.6;+47 57 45;16.75; 0.01; 0.69; 0.01; -0.07; 0.01;  0.66; 0.00; 2.79; 0.01;0;J212316.55+475745.2;21231654+4757453
 ;1523;21 23 16.4;+47 56 20;18.33; 0.02; 0.90; 0.02;  0.01; 0.06;  0.44; 0.12; 2.68; 0.06;0;J212316.36+475620.1;21231636+4756201
 ;1524;21 23 14.9;+47 58 35;17.43; 0.01; 0.89; 0.02; -0.04; 0.04;  0.47; 0.06; 2.65; 0.02;0;J212314.85+475834.8;21231485+4758348
*;1525;21 23 14.5;+47 57 26;18.36; 0.03; 0.90; 0.02; -0.13; 0.04;  0.45; 0.05; 2.59; 0.00;0;J212314.53+475725.5;21231446+4757253
 ;1526;21 23 14.3;+47 58 34;18.16; 0.03; 0.88; 0.03; -0.08; 0.08;  0.50; 0.07; 2.63; 0.04;0;J212314.33+475833.5;21231433+4758337
*;1527;21 23 14.0;+47 56 33;17.34; 0.00; 0.89; 0.01; -0.07; 0.03;  0.93; 0.03; 2.75; 0.01;0;J212314.00+475633.3;21231400+4756331
 ;1528;21 23 13.8;+48 05 32;17.54; 0.01; 1.02; 0.01; -0.14; 0.04;  0.66; 0.04; 2.64; 0.01;0;J212313.80+480531.8;21231379+4805318
*;1529;21 23 13.3;+47 57 54;18.24; 0.01; 1.03; 0.00; -0.17; 0.02;  0.46; 0.01; 2.60; 0.00;0;J212313.30+475753.7;21231330+4757536
 ;1530;21 23 13.0;+48 03 52;17.72; 0.02; 0.86; 0.06; -0.01; 0.10;  0.70; 0.07; 2.69; 0.01;0;J212312.99+480351.6;21231298+4803516
 ;1531;21 23 12.2;+47 58 56;17.05; 0.02; 1.06; 0.02;  0.25; 0.04;  0.22; 0.01; 2.52; 0.01;0;J212312.25+475856.4;21231225+4758564
*;1532;21 23 11.4;+47 57 50;17.87; 0.01; 0.93; 0.01; -0.15; 0.01;  0.94; 0.01; 2.77; 0.00;0;J212311.40+475750.2;21231140+4757502
 ;1533;21 23 11.1;+47 58 26;17.35; 0.00; 0.96; 0.02; -0.13; 0.03;  0.63; 0.01; 2.67; 0.00;0;J212311.10+475826.2;21231109+4758262
 ;1534;21 23 11.0;+47 55 27;18.04; 0.03; 0.89; 0.03; -0.10; 0.02;  0.58; 0.04; 2.62; 0.01;0;J212310.89+475527.3;21231090+4755271
 ;1535;21 23 10.6;+47 58 23;17.64; 0.01; 0.91; 0.01; -0.09; 0.01;  0.54; 0.02; 2.64; 0.01;0;J212310.58+475822.8;21231057+4758227
*;1536;21 23 10.1;+48 05 42;16.61; 0.01; 0.91; 0.01; -0.11; 0.01;  1.09; 0.00; 2.83; 0.01;0;J212310.10+480541.5;21231009+4805414
*;1537;21 23 08.7;+47 56 50;17.68; 0.02; 0.97; 0.04; -0.10; 0.07;  0.92; 0.07; 2.76; 0.02;0;J212308.70+475649.9;21230871+4756499
 ;1538;21 23 08.0;+48 04 36;17.35; 0.00; 1.06; 0.01; -0.08; 0.00;  0.51; 0.01; 2.61; 0.01;0;J212308.03+480436.1;21230801+4804360
*;1539;21 23 05.9;+47 58 19;17.77; 0.00; 1.07; 0.01; -0.13; 0.00;  0.78; 0.02; 2.73; 0.00;0;J212305.85+475818.9;21230584+4758189
 ;1540;21 23 05.1;+47 59 37;17.43; 0.01; 1.14; 0.00; -0.08; 0.01;  0.53; 0.09; 2.61; 0.02;0;J212305.06+475936.7;21230506+4759366
*;1541;21 23 04.9;+47 54 32;17.80; 0.01; 0.93; 0.03; -0.03; 0.04;  0.89; 0.02; 2.80; 0.01;0;J212304.73+475431.1;21230473+4754310
 ;1542;21 23 04.7;+47 56 25;17.41; 0.02; 0.82; 0.05; -0.04; 0.05;  0.61; 0.01; 2.65; 0.01;0;J212304.62+475625.1;21230461+4756251
*;1543;21 23 04.6;+48 03 04;17.56; 0.04; 0.93; 0.00; -0.14; 0.01;  1.23; 0.02; 2.92; 0.07;1;J212304.64+480303.7;21230464+4803040
*;1544;21 23 04.5;+48 01 28;17.46; 0.01; 1.24; 0.00; -0.17; 0.01;  0.73; 0.01; 2.64; 0.03;0;J212304.49+480128.0;21230450+4801280
 ;1545;21 23 04.1;+47 55 42;17.64; 0.02; 0.82; 0.02; -0.06; 0.04;  0.50; 0.07; 2.42; 0.39;0;J212303.99+475541.4;21230399+4755413
 ;1546;21 23 04.1;+47 55 59;16.65; 0.02; 0.92; 0.02;  0.47; 0.03;  0.19; 0.06; 5.14; 0.12;0;J212303.98+475559.1;21230398+4755591
 ;1547;21 23 03.7;+48 00 06;17.66; 0.01; 1.08; 0.00; -0.10; 0.04;  0.59; 0.04; 2.65; 0.02;0;J212303.73+480006.1;21230372+4800060
 ;1548;21 23 03.6;+47 55 50;18.14; 0.14; 0.85; 0.01;  0.00; 0.03;  0.29; 0.08; 2.58; 0.03;0;J212303.47+475550.2;21230349+4755499
